 AADE Ed J; AADE editors' journal
 Humboldt J Soc Relat; Humboldt journal of social relations
 IFO Stud; IFO-Studien
 IIASA Rep; IIASA reports
 IMF Surv; IMF survey International Monetary Fund
 Indian J Ind Relat; Indian journal of industrial relations
 Insur Math Econ; Insurance mathematics & economics
 Int Econ Insights; International economic insights
 Int J Anthropol; International journal of anthropology
 Malawian Geogr; The Malawian geographer
 Marbg Geogr Schr; Marburger geographische Schriften
 Int Spect Rome; The international spectator  a quarterly journal of the Istituto affari internazionali
 J Arab Aff; Journal of Arab affairs
 AID Eval News; AID evaluation news
 ARAG Natl Newsl; ARAG national newsletter
 ACES Bull; The ACES bulletin Association for Comparative Economic Studies US
 Mohlomi; Mohlomi
 J Archit Plann Res; Journal of architectural and planning research
 J Asian Econ; Journal of Asian economics
 J Bus Soc Stud; The Journal of business and social studies
 J Bus Res; Journal of business research
 J Econ Educ; The Journal of economic education
 J Econ Surv; Journal of economic surveys
 J Eur Soc Policy; Journal of European social policy
 J Inst Theor Econ; Journal of institutional and theoretical economics  JITE = Zeitschrift fur die gesamte Staatswissenschaft
 Japan World Econ; Japan and the world economy
 Int Stud Q; International studies quarterly  a publication of the International Studies Association
 Jerusalem Q; The Jerusalem quarterly
 JICA Newsl; JICA newsletter
 J Advert Res; Journal of advertising research
 J Afr Law; Journal of African law
 Iran Stud; Iranian studies  bulletin of the Society for Iranian Cultural and Social Studies
 IRCS Med Sci Biomed Technol; IRCS medical science Biomedical technology
 Ir Bank Rev; The Irish banking review
 Isla; Isla Mangilao Guam
 Izv Russ Geogr Obshchestva; Izvestiia Russkogo geograficheskogo obshchestva 1992
 Round Table; The Round table
 Russ Soc Sci Rev; Russian social science review  a journal of translations
 Natl Inst Econ Rev; National Institute economic review
 Zidonghua Xuebao; Zi dong hua xue bao = Acta automatica Sinica
 Sci Rep Tohoku Univ Ser 7; The Science reports of the Tohoku University Seventh series Geography Tohoku Daigaku
 Scott J Sociol; The Scottish journal of sociology
 Scr Ethnol; Scripta ethnologica Centro Argentino de Etnologia Americana
 Serv Migr; Servizio migranti
 Sist Urbani; Sistemi urbani
 Soc Choice Welfare; Social choice and welfare
 Soc Dev Issues; Social development issues
 Soc Sci; Social sciences
 Socialisme; Socialisme
 Sociol Diritto; Sociologia del diritto
 Sociologia; Sociologia Lisbon Portugal
 S Afr Geogr J; The South African geographical journal being a record of the proceedings of the South African Geographical Society
 Nat Law Forum; Natural law forum
 Nat Resour J; Natural resources journal
 Acta Geogr Sin; Di li xue bao
 Off Our Backs; Off our backs
 South Asian Rev; South Asian review
 South Eur Soc Polit; South European society & politics
 South Pac Bull; South Pacific bulletin
 Sov Econ; Soviet economy Silver Spring Md
 Sov Educ; Soviet education
 Sov Stud Philos; Soviet studies in philosophy
 Spore; Spore English edition
 Sri Lanka J Soc Sci; Sri Lanka journal of social sciences
 Statist Medd Ser Be Befolk Val; Statistiska meddelanden Serie Be
 Seagull Theatre Q; Seagull theatre quarterly
 Stud Hist Gandensia; Studia historica Gandensia
 Stud Russ Econ Dev; Studies on Russian economic development
 Sven Geogr Arsb; Svensk geografisk arsbok
 News Nor; News of Norway
 Teach Notes Popul; Teaching notes on population
 ThisWeek; ThisWeek Lagos Nigeria
 Nieuwe West Indische Gids; Nieuwe West-Indische gids
 Acta Geogr Croat; Acta geographica Croatica  glasilo Geografskog odjela PMF-a Sveucilista u Zagrebu
 Trib Int Womens Trib Cent; Tribune International Women's Tribune Centre  English ed
 Nomad People; Nomadic peoples
 Indo Koten Kenkyu; Indo koten kenkyu = Acta Indologica
 Panoscope; Panoscope
 Vestn Leningr Univ Geol Geogr; Vestnik - Leningradskogo Universiteta Geologiia geografiia Leningradskii gosudarstvennyi universitet
 Trimest Econ; El Trimestre economico
 US Long Term Rev; US long-term review
 Uddannelse; Uddannelse Copenhagen Denmark
 Field Staff Rep; Field staff reports
 UNDP News; UNDP news  networking publication of UNDP staff worldwide United Nations Development Programme
 USAID Dev; USAID developments
 Utafiti; Utafiti
 Veja; Veja
 Vestn Mosk Univ Ser V; Vestnik Moskovskogo universiteta Seriia V Geografiia
 Vikalpa; Vikalpa
 Village Voice; Village voice Greenwich Village New York NY
 Voix Femme; La voix de la femme  magazine trimestriel d'information d'education et de mobilisation de l'APDF
 Wirtschaftswissenschaftliches Stud; Wirtschaftswissenschaftliches Studium
 Women Environ; Women and environments
 Womens Watch; The Women's watch
 Policy Polit; Policy and politics
 Women Envis; Women envision
 World Citz News; World citizen news  newsletter of the World Government of World Citizens
 World Neighb Action; World Neighbors in action
 World Policy J; World policy journal
 World Tob; World tobacco
 Yearb Conf Lat Am Geogr; Yearbook Conference of Latin Americanist Geographers
 Z Gesamte Staatswiss; Zeitschrift fur die gesamte Staatswissenschaft = Journal of institutional and theoretical economics
 Zpr Geogr Ust CSAV; Zpravy Geografickeho ustavu CSAV
 Prog Plann; Progress in planning
 Public Finan Q; Public finance quarterly
 Pula; Pula
 Rech Geogr Strasbg; Recherches geographiques a Strasbourg
 Rev Sociol; Revija za sociologiju
 Rech fem; Recherches feministes
 Relac Int; Relaciones internacionales
 Res Econ Anthropol; Research in economic anthropology
 Rev Hist Demogr; Review of historical demography
 Rev Bras Geogr; Revista brasileira de geografia
 Rev CEPAE; Revista CEPAE
 Rev Inf Legis; Revista de informacao legislativa
 Rev Econ; Revista economica
 Rev Adm Munic; Revista de administracao municipal
 Rev Geogr Lyon; Revue de geographie de Lyon
 Rev Geogr Montr; La Revue de geographie de Montreal
 Rev Fr Sci Polit; Revue francaise de science politique
 Curr Aff Bull; Current affairs bulletin
 Anthropol Soc; Anthropologie et societes
 Bull Br Soc Middle East Stud; Bulletin - British Society for Middle Eastern Studies British Society for Middle Eastern Studies
 Br J Educ Technol; British journal of educational technology  journal of the Council for Educational Technology
 Delft Prog Rep; Delft progress report
 Comp Urban Res; Comparative urban research
 Educ Broadcast Int; Educational broadcasting international
 Hist Demogr; Historicka demografie
 IASSIST Q; IASSIST quarterly
 J East West Stud; Journal of East and West studies
 Isr Soc Sci Res; Israel social science research
 South Asia Bull; South Asia bulletin
 Studi Sociol; Studi di sociologia
 Sudan Notes Rec; Sudan notes and records
 Town Ctry Plann; Town and country planning  the quarterly review of the Town and Country Planning Association
 Tsukuba Daigaku Jinbun Chirigaku Kenkyu; Tsukuba Daigaku jinbun chirigaku kenkyu
 WRI Issues Ideas; WRI issues and ideas
 Reg Sci Perspect; Regional science perspectives
 Acta Univ Szeged Attila Jozsef Nominatae; Acta Universitatis Szegediensis de Attila Jozsef Nominatae Acta juridica et politica
 Acta Univ Ups; Acta Universitatis Upsaliensis Studia sociologica Upsaliensia
 Annal Droit; Annales de droit
 Ann Arid Zone; Annals of arid zone
 Adm Dev; Administration for development
 Adm Change; Administrative change
 Adv Mass Spectrom; Advances in mass spectrometry
 Ann Univ Abidjan Ser G; Annales de l'Universite d'Abidjan Serie G Geographie Universite d'Abidjan
 Ann Fac Lett Sci Hum; Annales de la Faculte des lettres et sciences humaines Dakar Senegal
 Afr Anal; Africa analysis
 Afr Q; Africa quarterly
 Ann Univ Sci Budap Rolando Eotvos Nom Sect Geogr; Annales Universitatis Scientiarum Budapestinensis de Rolando Eotvos Nominatae Sectio geographica Eotvos Lorand Tudomanyegyetem
 Aldarah; al-Darah
 Ann Soc Sci Counc Niger; Annals of the Social Science Council of Nigeria
 Afr Woman; Africa woman
 Afr Concord; African concord
 Afr Demogr; African demography
 Afr Farmer; African farmer  the key to Africa's future
 Afr J Psychol Study Soc Issues; African journal for the psychological study of social issues  journal of the African Society for the Psychological Study of Social Issues
 Afr J Sociol; African journal of sociology
 Afr Urban Notes B; African urban notes Ser B
 Afr Marburgen; Africana Marburgensia
 Afr Res Bull; Africana research bulletin
 Africasia; AfricAsia Paris France  1984
 Africom; Africom
 Afr Doc; Afrique documents
 Age; Age Melbourne Vic
 Agenda; Agenda Durban South Africa
 ACE Q; ACE quarterly
 Ann Natl Assoc Geogr; Annals of the National Association of Geographers India
 Almanac; Almanac National Academy of Television Arts and Sciences US International Council
 Anthropol Educ Q; Anthropology & education quarterly
 Am Lat; America latina
 Am Asian Rev; The American Asian review
 Ann Fac Econ Commer; Annali della Facolta di economia e commercio Universita di Messina
 Spec Publ Am Philos Soc; Special publication American Philosophical Society
 Annee Soc; L'Annee sociale
 Annu Pays Ocean Indien; Annuaire des pays de l'ocean indien
 Anthropol Work Rev; Anthropology of work review  AWR
 Anthropotes; Anthropotes
 Appl Econ Discuss Pap Ser; Applied economics discussion paper series
 Appraisal J; The Appraisal journal
 Arab Aff; Arab affairs London England
 Am Sch Board J; The American school board journal
 Am Univ Field Staff Rep Asia; American Universities Field Staff reports Asia
 Am Univ Field Staff Rep South Am; American Universities Field Staff reports South America
 An Stiint Univ AI I Cuza Iasi Sect III C Stiint Econ; Analele stiintifice ale Universitatii "Al I Cuza" din Iasi Sectiunea IIIc Stiinte economice 1976
 An Soc Geogr Hist; Anales de la Sociedad de Geografia e Historia Sociedad de Geografia e Historia de Guatemala
 Anal Polit; Analisis politico Bogota Colombia
 Appl Anal; Applicable analysis
 APDI Newsl; APDI newsletter United Nations Asian and Pacific Development Institute
 Arab J Soc Sci; The Arab journal of the social sciences
 Arabia; Arabia London England
 Arb Soz; Arbeit und Soziales
 Arch Report; Archive reporter Data Archive on Adolescent Pregnancy and Pregnancy Prevention
 Arab Econ; The Arab economist
 AQ; AQ Balmain NSW
 Actual Jurid Aranzadi; Actualidad juridica Aranzadi
 Asia; Asia
 Asia Pac Viewp; Asia Pacific viewpoint
 Asia Mag; The Asia magazine
 Asia Pac Obs; Asia Pacific observer  a quarterly newsletter from the East-West Center
 Program Q Asia Found; Program quarterly - The Asia Foundation The Asia Foundation
 Asian J Econ; The Asian journal of economics  a journal of the Society for Asian Development
 Asian J Econ Soc Stud; Asian journal of economics and social studies
 Centerviews; Centerviews Honolulu Hawaii
 Cent Asia Monit; Central Asia monitor
 Asian Stud; Asian studies Quezon City Philippines
 Monogr Corp Cent Reg Poblac; Monografias de la Corporacion Centro Regional de la Poblacion
 Atoll Res Bull; Atoll research bulletin
 Aussenwirtschaft; Aussenwirtschaft  Zeitschrift fur internationale Wirtschaftsbeziehungen
 Aust Bull Labour; Australian bulletin of labour
 Aust J Agric Resour Econ; The Australian journal of agricultural and resource economics
 Aust J Chin Aff; The Australian journal of Chinese affairs = Ao chung
 Aust J Geod Photogramm Surv; Australian journal of geodesy photogrammetry and surveying
 Aust Soc; Australian society
 AWR Bull; AWR Bulletin Association for the Study of the World Refugee Problem
 CDE Work Pap; CDE working paper University of Wisconsin--Madison Center for Demography and Ecology
 Backgrounder; Backgrounder Washington DC
 CEDPA World Wide; CEDPA world wide Centre for Development and Population Activities
 Bangkok Post; The Bangkok post
 Banque; Banque
 Cent Issues Anthropol; Central issues in anthropology  a journal of the Central States Anthropological Society
 Statist Efterret; Statistiske efterretninger Befolkning og valg
 China Law Pract; China law and practice
 Behaviormetrika; Behaviormetrika
 Benelux; Benelux
 Berl Geogr Stud; Berliner geographische Studien
 Chang Men; Changing men Madison Wis
 Beyond Relief; Beyond relief
 Bijdr Geschied; Bijdragen tot de geschiedenis
 Biologia; Biologia Lahore Pakistan
 Chem Can; Chemistry in Canada
 Chic Pol Rev; Chicago policy review
 Chnia Geogr; The China geographer
 Bloomsbury Geogr; Bloomsbury geographer
 Zu Guo; Zu guo
 Jian Kang Bao; Jian kang bao
 Bull Methodol Sociol; Bulletin de methodologie sociologique  BMS
 Boardr Rep; Boardroom reports
 Body Forum; The Body forum
 Bol Inf Socio Econ; Boletim de informacao socio-economica
 Bol Popul Emprego Renda Nordeste; Boletim sobre populacao emprego e renda no nordeste
 Bol R Soc Esp Hist Nat Secc Biol; Boletin de la Real Sociedad Espanola de Historia Natural Seccion biologica  organo del Instituto de Ciencias Naturales Jose de Acosta
 Bol Poblac; Boletin de poblacion
 Bol Indic Coyunt; Boletin de indicadores de coyuntura
 China Newsl; China newsletter
 Bol Mex Derecho Comp; Boletin mexicano de derecho comparado
 Bol Socioecon; Boletin socioeconomico Cali Colombia  1985
 Guo Li Taiwan Shi Fan Da Xue Di li Yan Jiu Suo Di Li Yan Jiu Bao Gaob; Guo li Taiwan shi fan da xue Di li yan jiu suo di li yan jiu bao gao Kuo li T'ai-wan shih fan ta hsueh Ti li yen chiu so
 Chin Geogr Sci; Chinese geographical science
 Boletin; Boletin Instituto de Estudios de Poblacion y Desarrollo Dominican Republic
 Brandeis Rev; Brandeis review
 Braz Econ Stud; Brazilian economic studies
 Chin Environ Dev; Chinese environment & development Armonk NY
 Br J Sociol Educ; British journal of sociology of education
 Br Rev Econ Issues; British review of economic issues
 Broward Rev; Broward review
 Chron Actual SEDEIS; Chroniques d'actualite de la SEDEIS
 City J; City journal New York NY
 Cityscape; Cityscape Washington DC
 Built Environ; Built environment
 Bull Hist Polit; Bulletin d'histoire politique
 Bull Econ Soc Maroc; Bulletin economique et social du Maroc
 Bull Francoph Afr; Bulletin of francophone Africa
 Bull Am Schools Orient Res; Bulletin of the American Schools of Oriental Research American Schools of Oriental Research
 Bull Clevel Med Libr; The bulletin of the Cleveland Medical Library Cleveland Medical Library Association
 Kao Ku Jen Lei Hsueh Kan; Kao gu ren lei xue kan
 Coast Manage; Coastal management  an international journal of marine environment resources law and society
 Bull Ghana Geogr Assoc; Bulletin of the Ghana Geographical Association
 Bull Int Comm Urgent Anthropol Ethnol Res; Bulletin of the International Committee on Urgent Anthropological and Ethnological Research International Committee on Urgent Anthropological and Ethnological Research
 Coexistence; Co-existence Glasgow Scotland
 Columbia J Gend Law; Columbia journal of gender and law
 Bull Soc Univ Cartogr; The bulletin of the Society of University Cartographers Society of University Cartographers
 Bur Justice Stat Spec Rep; Bureau of Justice Statistics special report
 Bus Econ Rev; Business and economic review Columbia SC
 BusinessIndia; Business India
 Communist Post-Communist Stud; Communist and post-communist studies
 Communist Econ; Communist economies
 Communist Econ Econ Transform; Communist economies and economic transformation
 Communio; Communio Spokane Wash
 Comput Math Appl; Computers & mathematics with applications Oxford England  1987
 Cah Afr Adm Publique; Cahiers africains d'administration publique = African administrative studies
 Cah Geogr Que; Cahiers de geographie du Quebec
 Cah Rech Sociol; Cahiers de recherche sociologique
 Cah Am Lat Ser Sci Homme; Serie sciences de l'homme
 Cah Cent Rech Etud Paris Lle de France; Cahiers du Centre de recherches et d'etudes sur Paris et l'Ile-de-France CREPIF
 Comp Econ Stud; Comparative economic studies
 Cah Econ Soc; Cahiers economiques et sociaux
 Cah Geogr Rouen; Cahiers geographiques de Rouen
 Cah Tech AFRO; Cahiers techniques AFRO
 Calif Anthropol; California anthropologist
 Camb Anthropol; Cambridge anthropology  a journal of the Department of Social Anthropology Cambridge University
 Can Int Educ; Canadian and international education Education canadienne et internationale
 Comput Geosci; Computers & geosciences
 Comput Environ Urban Syst; Computers environment and urban systems
 CARE Briefs Develop Isssues; CARE briefs on development issues
 Can J Stat; The Canadian journal of statistics = Revue canadienne de statistique
 Can Womens Stud; Canadian women's studies = Les cahiers de la femme
 Cape Breton Post; Cape Breton post
 Caribb Aff; Caribbean affairs Port of Spain Trinidad and Tobago
 Carol Plann; Carolina planning
 Carta Econ Reg; Carta economica regional  CER
 N Z Cartogr Geogr Inf Sys; New Zealand cartography and geographic information systems  the journal of the New Zealand Cartographic Society
 Cathol Stand; Catholic standard Washington DC
 Cathol Update; Catholic update
 Cathol Woman; Catholic woman
 Cathol World; Catholic world
 Constellations; Constellations Oxford England
 Contemp Jew; Contemporary Jewry
 Contemp Marx; Contemporary Marxism
 Ethiop Herald; The Ethiopian herald
 Etude Popul Afr; Etude de la population africaine = African population studies
 Contradictions; Contradictions
 Espiral; Espiral Guadalajara Mexico
 Estad Panamena; Estadistica panamena Boletin
 Este Pais; Este pais Mexico City Mexico
 Estud Latinoam; Estudios latinoamericanos Mexico City Mexico
 Estud Rurales Latinoam; Estudios rurales latinoamericanos
 Estud Soc Centroam; Estudios sociales centroamericanos
 Etud Can; Etudes canadiennes Canadian studies
 Etud Hist Afr; Etudes d'histoire africaine
 Etud Expans; Etudes & expansion
 Etud Irl; Etudes irlandaises
 Etud Polemol; Etudes polemologiques
 Etudes Rwandaises; Etudes rwandaises
 Esope; Esope  bi-mensuel social politique economique
 Etud Zair; Etudes zairoises
 Eur Foreign Aff Rev; European foreign affairs review
 Contrib Indian Sociol; Contributions to Indian sociology
 Contrib Polit Econ; Contributions to political economy
 Coop Confl; Cooperation and conflict
 Ctry Demogr Profiles; Country demographic profiles
 Eur J Mark; European journal of marketing
 Eur J Polit Res; European journal of political research
 Covertaction Q; Covertaction quarterly
 Eur Law Rev; European law review
 Coyunt Econ; Coyuntura economica Bogota Colombia
 Rev Eur Estud Latinoam Caribe; Revista europea de estudios latinoamericanos y del Caribe = European review of Latin American and Caribbean studies
 Eur Water Pollut Control; European water pollution control  official publication of the European Water Pollution Control Association EWPCA
 Creces; Creces / CONIN
 Explor Renaiss Cult; Explorations in Renaissance culture
 Crit Soc Res; Critical social research
 Crit Sociol Eugene; Critical sociology
 Crit Anthropol; Critique of anthropology
 Crown Agents Rev; The Crown agents review
 Cuad CLAEH; Cuadernos del CLAEH
 Fait Tend; Faits et tendances
 Fam Circle; Family circle Mount Morris Ill
 Fam Econ Rev; Family economics review
 FAO Fish Circ; FAO fisheries circular = FAO circulaire sur les peches = FAO circular de pesca
 Cult Anthropol; Cultural anthropology  journal of the Society for Cultural Anthropology
 Culture; Culture Canadian Ethnology Society
 Econ Rev; Economic review Federal Reserve Bank of Atlanta
 Econ Rev Dallas; Economic review Federal Reserve Bank of Dallas
 Bus Rev; Business review Federal Reserve Bank of Philadelphia
 Feedback; Feedback  ICOMP newsletter on management of population programmes
 Female Health Top Diagn Report; Female health topics & diagnostic reporter
 Fem Econ; Feminist economics
 Curr Dig Post Sov Press; The Current digest of the post-Soviet press
 Czech Econ Dig; Czechoslovak economic digest
 Czechoslov Sociol Rev; Czechoslovak sociological review
 Dly Stat Can; Daily Statistics Canada
 DA West Asia Rep; DA West Asia report
 Financ Times; Financial times North American edition
 Finanzarchiv; Finanz-archiv  Zeitschrift fur das Gesamte Finanzwesen
 Finisterra; Finisterra
 Proc Int Congr Endocrinol; Proceedings of the  International Congress of Endocrinology International Congress of Endocrinology
 Fletcher Forum; The Fletcher forum
 Fletcher Forum World Aff; The Fletcher forum of world affairs
 Focus Tech Coop; Focus technical cooperation Focus Cooperacion tecnica Focus Cooperation technique
 Folia Geogr Ser Geogr Oecon; Folia geographica Series geographica-oeconomica
 Folk; Folk Kobenhavn
 Argument; Das Argument
 De Economia; De economia
 Economist Leiden; De Economist
 Defenders; Defenders
 Def Law J; Defense law journal
 Demosta; Demosta
 Desarro Rural Amer; Desarrollo rural en las Americas
 Deseret News; Deseret news Salt Lake City Utah  1964
 Desertif Control; Desertification control
 Dev Brief; Development brief
 Dev Dir; Development directions
 DEF; DEF  Development education forum
 Dev Que; Developpement-Quebec
 Dev Volta; Le Developpement voltaique
 Dialect Anthropol; Dialectical anthropology
 D Cent Am; Diario de Centro America Guatemala Guatemala  1880
 D Yucatan; Diario de Yucatan
 Differences; Differences
 Domes; Domes  digest of Middle East studies
 Dir Lav; Il Diritto del lavoro
 Eme Eme Estud Domin; Eme eme estudios dominicanos
 Empl Desempl; Empleo y desempleo
 Enfoque Fem; Enfoque feminista
 Eng Sci; Engineering and science
 Environ Plan D; Environment and planning D Society & space
 Environmentalist; The Environmentalist
 Environ Afr; Environnement africain
 Equinoxe; Equinoxe Cayenne French Guiana
 Era Social; Era socialista
 ERS Spectr; ERS spectrum
 Espaces Soc; Espaces et societes Paris France
 Entscheid Bundesgerichtshofes Zivilsachen; Entscheidungen des Bundesgerichtshofes in Zivilsachen Germany West Bundesgerichtshof
 Erdkd Wissen; Erdkundliches Wissen
 Fookien Times Yearb; The Fookien times yearbook
 Forum Mond Sante; Forum mondial de la sante
 Dly Rep Peoples Repub China; Daily report People's Republic of China
 Dly Rep China; Daily report China
 Forsch J Neue Soz Beweg; Forschungsjournal neue soziale Bewegungen
 Forum Dev Stud; Forum for development studies
 Forum Rev Invat Super; Forum revista invatamintului superior
 Free China Rev; Free China review
 Futur Anter; Futur anterieur
 Gelis Derg Orta dogu Tek Univ; Gelisme dergisi = Studies in development
 Free World Horiz; Free world horizons
 GAEA An Soc Argent Estud Geogr; Gaea anales de la Sociedad Argentina de Estudios Geograficos
 Gallup Rep; Gallup report Princeton NJ  1981
 Gend Place Cult; Gender place and culture  a journal of feminist geography
 Gend CG Newsl; The gender cg newsletter
 Ge Mag; Ge-magazine
 Genre; Genre Los Angeles Calif
 Geocarto Int; Geocarto international
 Geo Eco Trop; Geo-Eco-Trop
 Geogr Tidsskr; Geografisk tidskrift
 Geogr Pregl; Geografski pregled Revue de geographie
 Geogr Vestn; Geografski vestnik = Bulletin de la Societe de geographie de Ljubljana
 Geographica; Geographica Madrid Spain
 Geogr Helv; Geographica helvetica
 Geogr Obs; The Geographical observer
 Geographicalia; Geographicalia
 Glob Issues; Global issues Washington DC
 Econ Geogr; Economic geography
 Futuribles; Futuribles Paris France  1981
 Estud Geogr; Estudios geograficos
 CEDPA Netw; CEDPA network Online
 Soc Action; Social action
 A M; A&M  advertising and marketing
 Afrique 2000; Afrique 2000 Geneva Switzerland
 Boll Demogr Stor; Bollettino di demografia storica
 Cambodge Soir; Cambodge soir
 Famplanco News; Famplanco news
 Bol Asoc Chil Prot Fam; Boletn Asociacin Chilena de Proteccin de la Familia
 Al Darat; Al Darat
 Environ Folio; Environment folio
 Adolesc Educ Newsl; Adolescence education newsletter
 Earth Negot Bull; Earth Negotiations Bulletin
 Dly Mail Guard; Daily Mail and Guardian
 Ann Econ Stat 1986; Annales d'economie et de statistique
 Ageing Int; Ageing international
 Guthrie Clin Bull; Guthrie Clinic bulletin
 Toho Igakkai Zasshi; Toho Igakkai zasshi = Journal of the Medical Society of Toho University
 J Trop Med; The Journal of tropical medicine
 Patologia Mex; Patologia
 Q J Crude Drug Res; Quarterly journal of crude drug research = Vierteljahrliche Zietschrift fur Drogen-Forschung = Revue trimestrielle des recherches sur les matieres premieres
 J Pak Med Assoc; Journal of the Pakistan Medical Association
 Contrepoint; Contrepoint
 Indian J Quant Econ; Indian journal of quantitative economics
 Sosiologia; Sosiologia
 NACUBO Bus Off; NACUBO business officer  magazine of the National Association of College and University Business Officers National Association of College and University Business Officers
 Dan Amtsrad; Danmarks amtsrad
 Polio news; Polio news
 Genitif; Gnitif
 Bull Trimest Inst Actuaires Francais; Bulletin trimestriel de l'Institut des actuaires francais Institut des actuaires francais Paris
 Bull Nat Fam Plan Counc Vic; Bulletin of the Natural Family Planning Council of Victoria
 NFI Bull; NFI bulletin
 Ageing Res Rev; Ageing research reviews
 Crit Rev Comput Tomogr; Critical reviews in computed tomography
 Reprod Suppl; Reproduction Cambridge England Supplement
 Infez Med; Le infezioni in medicina  rivista periodica di eziologia epidemiologia diagnostica clinica e terapia delle patologie infettive
 Berkeley Technol Law J; Berkeley technology law journal
 Cornell Mag; Cornell magazine Ithaca NY  1993
 Duke J Gend Law Policy; Duke journal of gender law & policy
 Law Policy Int Bus; Law and policy in international business
 Va J Soc Policy Law; Virginia journal of social policy & the law
 Word World; Word & world
 McKinneys Consol Laws N Y Annot N Y State; McKinney's Consolidated laws of New York annotated  with annotations from state and federal courts and state agencies New York State
 Statut Calif Dig Meas Calif; Statutes of California and digests of measures California
 Camb Munic Code 1988 Camb Mass; Cambridge municipal code 1988  a codification of the general ordinances of the city of Cambridge Massachusetts Cambridge Mass
 Laws State N M N M; Laws of the state of New Mexico New Mexico
 Sess Laws Hawaii Passed State Legis Hawaii; Session laws of Hawaii passed by the State Legislature Hawaii
 Bol Of Estado Gac Madr Spain; Boletin oficial del estado Gaceta de Madrid Spain
 Sess Laws Guam; Session laws Guam
 Cancer Cell Int; Cancer cell international
 J Dermatolog Treat; The Journal of dermatological treatment
 Int J Cardiovasc Intervent; International journal of cardiovascular interventions
 Neuromolecular Med; Neuromolecular medicine
 Physiol Entomol; Physiological entomology
 Mitochondrion; Mitochondrion
 Vet Clin Pathol; Veterinary clinical pathology
 N S W Public Health Bull; New South Wales public health bulletin
 Curr Treat Options Oncol; Current treatment options in oncology
 Int J Audiol; International journal of audiology
 J Comp Physiol A Neuroethol Sens Neural Behav Physiol; Journal of comparative physiology A Neuroethology sensory neural and behavioral physiology
 J Pastoral Care Counsel; The journal of pastoral care & counseling  JPCC
 Eksp Klin Gastroenterol; Eksperimental'naia i klinicheskaia gastroenterologiia = Experimental & clinical gastroenterology
 Invertebr Reprod Dev; Invertebrate reproduction & development
 Vet Ther; Veterinary therapeutics  research in applied veterinary medicine
 Paediatr Respir Rev; Paediatric respiratory reviews
 Crim Behav Ment Health; Criminal behaviour and mental health  CBMH
 J Clin Child Adolesc Psychol; Journal of clinical child and adolescent psychology  the official journal for the Society of Clinical Child and Adolescent Psychology American Psychological Association Division 53
 J Electroanal Chem Lausanne; Journal of electroanalytical chemistry Lausanne Switzerland
 Smart Mater Struct; Smart materials & structures
 IEEE Trans Pattern Anal Mach Intell; IEEE transactions on pattern analysis and machine intelligence
 Neurocomputing; Neurocomputing
 Adv Imaging; Advanced imaging Woodbury NY
 Psychobiology Austin Tex; Psychobiology Austin Tex
 Curr Opin Otolaryngol Head Neck Surg; Current opinion in otolaryngology & head and neck surgery
 Nutr Res Rev; Nutrition research reviews
 Phlebology; Phlebology
 Curr Opin Anaesthesiol; Current opinion in anaesthesiology
 Proc Indian Natl Sci Acad B Biol Sci; Proceedings of the Indian National Science Academy Part B Biological sciences
 Trav Hum; Le Travail humain
 J Texture Stud; Journal of texture studies
 J Sens Stud; Journal of sensory studies
 J Electron Imaging; Journal of electronic imaging
 Electron Lett; Electronics letters
 Proc IEEE Inst Electr Electron Eng; Proceedings of the IEEE Institute of Electrical and Electronics Engineers
 Saf Sci; Safety science
 Arch Sci Compte Rendu Seances Soc; Archives des sciences et compte rendu des seances de la Societe
 Seibutsu Kankyo Chosetsu; Seibutsu kankyo chosetsu Environment control in biology
 Memai Heiko Igaku; Memai heiko igaku
 Annu Rev Astron Astrophys; Annual review of astronomy and astrophysics
 Meccanica; Meccanica
 J Low Temp Phys; Journal of low temperature physics
 Int J Solids Struct; International journal of solids and structures
 J Afr Earth Sci; Journal of African earth sciences Oxford England  1994
 Ergon Des; Ergonomics in design  the magazine of human factors applications
 Appl Geochem; Applied geochemistry  journal of the International Association of Geochemistry and Cosmochemistry
 Rev Geophys; Reviews of geophysics Washington DC  1985
 Theochem; Theochem
 Laser Phys; Laser physics
 Sens Actuators A Phys; Sensors and actuators A Physical
 Learn Individ Differ; Learning and individual differences
 Horttechnology; HortTechnology
 Plant Prod Sci; Plant production science
 Int J Mass Spectrom; International journal of mass spectrometry
 Graph Models; Graphical models
 J Mater Sci Lett; Journal of materials science letters
 CRM Advocate; CRM advocate
 Auton Agent Multi Agent Syst; Autonomous agents and multi-agent systems
 Dauphin Cty Rep; Dauphin County reports
 Ir Law Rep Mon; Irish law reports monthly
 Publ Cour Eur Droits Homme Sr A Arrets Decis; Publications de la Cour europeenne des droits de l'homme Serie A Arrets et decisions = Publications of the European Court of Human Rights Series A Judgments and decisions European Court of Human Rights
 Michies Annot Code Public Gen Laws Md Md; Michie's annotated code of the public general laws of Maryland Maryland
 Pages Ohio Revis Code Annot Ohio; Page's Ohio revised code annotated  containing the text of the official Ohio revised code effective October 1 1953 with the addition of all statutes of a general nature enacted by the General Assembly  and notes of decisions cons
 J Liposome Res; Journal of liposome research
 Scand J Surg; Scandinavian journal of surgery  SJS  official organ for the Finnish Surgical Society and the Scandinavian Surgical Society
; Agricultural and forest entomology
 Eur Hum Rights Law Rev; European human rights law review
